"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Cowansville, Quebec",676716.1431516795,5007630.968548755,18,T,12489,271.0
"Bécancour, Quebec",697545.8101231047,5134282.280976468,18,T,12438,28.2
"Gravenhurst, Ontario",628915.4900708818,4974994.46281398,17,T,12311,23.8
"Perth East, Ontario",504044.2172421329,4813010.862790101,17,T,12261,17.2
"Prince Rupert, British Columbia",413663.8605286827,6019070.254984578,9,U,12220,227.7
"Prévost, Quebec",571404.2890249719,5080015.254904917,18,T,12171,347.2
"Sainte-Adèle, Quebec",567426.6846729781,5088860.118676429,18,T,12137,100.4
"Kentville, Nova Scotia",382267.1319990514,4992648.004729182,20,T,12088,363.3
"Beauharnois, Quebec",588564.0925564403,5019120.369014515,18,T,12011,173.9
"Les Îles-de-la-Madeleine, Quebec",585541.2137681016,5248382.887639738,20,T,12010,69.5
"Wellington North, Ontario",534532.7312948336,4860856.012511108,17,T,11914,22.6
"St. Andrews, Manitoba",644327.3493742341,5570613.38395256,14,U,11913,15.8
"Carleton Place, Ontario",410885.9958915799,4998383.1973890895,18,T,11901,1176.2
"Whistler, British Columbia",503259.8226885733,5552062.9355847575,10,U,11854,49.3
"Brighton, Ontario",278835.33769386774,4889161.107099567,18,T,11844,43.2
"Tiny, Ontario",583210.7399002457,4948306.205751211,17,T,11787,35.0
"Gander, Newfoundland and Labrador",675034.9988972258,5425419.9704888305,21,U,11688,112.1
"Sidney, British Columbia",470642.03493194975,5388692.486021405,10,U,11672,2290.7
"Rothesay, New Brunswick",265379.06581139076,5029879.10990928,20,T,11659,335.8
"Brock, Ontario",652850.6770840328,4908835.457297292,17,T,11642,27.5
"Summerland, British Columbia",306515.9561630607,5497669.5137368245,11,U,11615,156.8
"Val-des-Monts, Quebec",448051.37332827534,5055377.419749617,18,T,11582,26.2
"Taché, Manitoba",667726.070521757,5508774.694161668,14,U,11568,19.9
